protein_cluster	tg
pvp1998	terminase3
pvp1999	terminase16
pvp1999	terminase22
pvp2000	terminase18
pvp2000	terminase22
pvp2000	terminase8
pvp2001	terminase14
pvp2001	terminase24
pvp2001	terminase25
pvp2001	terminase5
pvp2002	terminase25
pvp2002	terminase3
pvp2002	terminase7
pvp2003	terminase13
pvp2003	terminase18
pvp2003	terminase9
pvp2004	terminase13
pvp2004	terminase9
pvp2005	terminase18
pvp2005	terminase9
pvp2006	terminase13
pvp2006	terminase18
pvp2006	terminase44
pvp2006	terminase9
pvp2007	terminase16
pvp2008	terminase24
pvp2008	terminase25
pvp2009	terminase15
pvp2009	terminase24
pvp2009	terminase25
pvp2010	terminase14
pvp2011	terminase14
pvp2012	terminase14
pvp2013	terminase14
pvp2013	terminase15
pvp2014	terminase14
pvp2015	terminase5
pvp2015	terminase8
pvp2016	terminase1
pvp2016	terminase16
pvp2016	terminase5
pvp2016	terminase8
pvp2017	terminase13
pvp2017	terminase18
pvp2017	terminase44
pvp2017	terminase9
pvp2018	terminase2
pvp2019	terminase2
pvp2020	terminase2
pvp2021	terminase2
pvp2022	terminase2
pvp2023	terminase16
pvp2023	terminase22
pvp2024	terminase14
pvp2024	terminase28
pvp2025	terminase11
pvp2025	terminase14
pvp2026	terminase1
pvp2026	terminase11
pvp2026	terminase14
pvp2026	terminase44
pvp2027	terminase1
pvp2027	terminase11
pvp2027	terminase14
pvp2027	terminase3
pvp2028	terminase11
pvp2029	terminase11
pvp2030	terminase11
pvp2031	terminase11
pvp2032	terminase2
pvp2032	terminase34
pvp2033	terminase1
pvp2034	terminase1
pvp2035	terminase1
pvp2035	terminase39
pvp2036	terminase1
pvp2036	terminase18
pvp2037	terminase26
pvp2038	terminase3
pvp2039	terminase31
pvp2039	terminase44
pvp2040	terminase15
pvp2040	terminase38
pvp2041	terminase1
pvp2042	terminase1
pvp2043	terminase3
pvp2044	terminase1
pvp2045	terminase13
pvp2045	terminase44
pvp2045	terminase9
pvp2046	terminase13
pvp2046	terminase18
pvp2046	terminase44
pvp2047	terminase1
pvp2048	terminase5
pvp2048	terminase7
pvp2048	terminase8
pvp2049	terminase1
pvp2050	terminase1
pvp2051	terminase1
pvp2052	terminase1
pvp2053	terminase11
pvp2054	terminase11
pvp2055	terminase11
pvp2056	terminase11
pvp2057	terminase11
pvp2058	terminase11
pvp2059	terminase7
pvp2060	terminase7
pvp2061	terminase18
pvp2061	terminase5
pvp2061	terminase9
pvp2062	terminase18
pvp2062	terminase9
pvp2063	terminase24
pvp2063	terminase3
pvp2063	terminase5
pvp2064	terminase1
pvp2065	terminase26
pvp2066	terminase26
pvp2067	terminase26
pvp2068	terminase26
pvp2069	terminase26
pvp2070	terminase26
pvp2071	terminase26
pvp2072	terminase26
pvp2073	terminase26
pvp2074	terminase26
pvp2075	terminase26
pvp2076	terminase26
pvp2077	terminase26
pvp2078	terminase26
pvp2079	terminase26
pvp2080	terminase26
pvp2081	terminase26
pvp2082	terminase26
pvp2083	terminase26
pvp2084	terminase26
pvp2085	terminase26
pvp2086	terminase26
pvp2087	terminase26
pvp2088	terminase26
pvp2089	terminase26
pvp2090	terminase26
pvp2091	terminase26
pvp2092	terminase26
pvp2093	terminase11
pvp2094	terminase26
pvp2095	terminase2
pvp2096	terminase2
pvp2097	terminase2
pvp2098	terminase2
pvp2099	terminase2
pvp2100	terminase2
pvp2101	terminase2
pvp2102	terminase2
pvp2103	terminase2
pvp2104	terminase2
pvp2105	terminase2
pvp2106	terminase2
pvp2107	terminase2
pvp2108	terminase2
pvp2109	terminase2
pvp2110	terminase2
pvp2111	terminase2
pvp2112	terminase2
pvp2113	terminase16
pvp2113	terminase22
pvp2113	terminase39
pvp2114	terminase16
pvp2114	terminase24
pvp2114	terminase5
pvp2115	terminase15
pvp2116	terminase14
pvp2116	terminase4
pvp2117	terminase15
pvp2117	terminase4
pvp2118	terminase15
pvp2118	terminase2
pvp2119	terminase15
pvp2119	terminase4
pvp2120	terminase16
pvp2121	terminase16
pvp2121	terminase22
pvp2122	terminase3
pvp2123	terminase29
pvp2123	terminase5
pvp2124	terminase2
pvp2124	terminase29
pvp2125	terminase13
pvp2125	terminase29
pvp2126	terminase29
pvp2126	terminase3
pvp2127	terminase29
pvp2127	terminase7
pvp2128	terminase33
pvp2129	terminase33
pvp2130	terminase33
pvp2131	terminase33
pvp2132	terminase33
pvp2133	terminase33
pvp2134	terminase33
pvp2135	terminase33
pvp2136	terminase33
pvp2137	terminase33
pvp2138	terminase33
pvp2139	terminase33
pvp2140	terminase33
pvp2141	terminase33
pvp2142	terminase33
pvp2143	terminase33
pvp2144	terminase33
pvp2145	terminase33
pvp2146	terminase33
pvp2147	terminase33
pvp2148	terminase33
pvp2149	terminase33
pvp2150	terminase33
pvp2151	terminase33
pvp2152	terminase33
pvp2153	terminase33
pvp2154	terminase33
pvp2155	terminase33
pvp2156	terminase33
pvp2157	terminase25
pvp2157	terminase3
pvp2158	terminase3
pvp2159	terminase13
pvp2159	terminase3
pvp2159	terminase6
pvp2160	terminase16
pvp2160	terminase3
pvp2161	terminase3
pvp2162	terminase6
pvp2163	terminase13
pvp2163	terminase9
pvp2164	terminase1
pvp2164	terminase14
pvp2164	terminase15
pvp2165	terminase14
pvp2166	terminase14
pvp2167	terminase14
pvp2167	terminase8
pvp2168	terminase14
pvp2168	terminase32
pvp2169	terminase14
pvp2169	terminase15
pvp2170	terminase14
pvp2171	terminase14
pvp2172	terminase14
pvp2172	terminase15
pvp2173	terminase14
pvp2174	terminase14
pvp2174	terminase2
pvp2175	terminase24
pvp2175	terminase7
pvp2175	terminase8
pvp2176	terminase24
pvp2177	terminase24
pvp2178	terminase24
pvp2179	terminase1
pvp2179	terminase5
pvp2179	terminase6
pvp2179	terminase9
pvp2180	terminase5
pvp2181	terminase3
pvp2182	terminase3
pvp2183	terminase3
pvp2184	terminase3
pvp2185	terminase3
pvp2186	terminase3
pvp2187	terminase3
pvp2188	terminase3
pvp2189	terminase3
pvp2190	terminase22
pvp2190	terminase8
pvp2191	terminase14
pvp2191	terminase25
pvp2192	terminase22
pvp2192	terminase7
pvp2193	terminase25
pvp2193	terminase7
pvp2194	terminase16
pvp2195	terminase16
pvp2195	terminase5
pvp2196	terminase13
pvp2196	terminase16
pvp2196	terminase24
pvp2196	terminase9
pvp2197	terminase25
pvp2197	terminase7
pvp2198	terminase13
pvp2198	terminase18
pvp2199	terminase1
pvp2199	terminase13
pvp2199	terminase8
pvp2200	terminase13
pvp2200	terminase18
pvp2201	terminase14
pvp2202	terminase14
pvp2203	terminase14
pvp2204	terminase14
pvp2204	terminase5
pvp2205	terminase14
pvp2206	terminase14
pvp2207	terminase14
pvp2208	terminase14
pvp2209	terminase14
pvp2210	terminase14
pvp2211	terminase14
pvp2212	terminase14
pvp2212	terminase7
pvp2213	terminase14
pvp2214	terminase14
pvp2215	terminase14
pvp2216	terminase13
pvp2216	terminase9
pvp2217	terminase13
pvp2217	terminase9
pvp2218	terminase18
pvp2218	terminase8
pvp2219	terminase8
pvp2220	terminase5
pvp2220	terminase8
pvp2221	terminase13
pvp2221	terminase18
pvp2222	terminase13
pvp2222	terminase18
pvp2223	terminase2
pvp2223	terminase6
pvp2224	terminase2
pvp2225	terminase13
pvp2225	terminase25
pvp2226	terminase14
pvp2226	terminase32
pvp2226	terminase7
pvp2227	terminase14
pvp2227	terminase7
pvp2228	terminase14
pvp2229	terminase14
pvp2230	terminase14
pvp2231	terminase14
pvp2232	terminase11
pvp2232	terminase14
pvp2232	terminase8
pvp2233	terminase11
pvp2233	terminase28
pvp2234	terminase11
pvp2235	terminase11
pvp2235	terminase2
pvp2236	terminase2
pvp2236	terminase5
pvp2237	terminase2
pvp2237	terminase32
pvp2238	terminase16
pvp2238	terminase22
pvp2238	terminase24
pvp2238	terminase3
pvp2239	terminase31
pvp2240	terminase31
pvp2241	terminase31
pvp2242	terminase31
pvp2243	terminase31
pvp2244	terminase31
pvp2245	terminase31
pvp2246	terminase31
pvp2247	terminase31
pvp2248	terminase31
pvp2249	terminase31
pvp2250	terminase31
pvp2251	terminase31
pvp2252	terminase31
pvp2253	terminase31
pvp2254	terminase31
pvp2255	terminase31
pvp2256	terminase31
pvp2257	terminase31
pvp2258	terminase31
pvp2259	terminase31
pvp2260	terminase31
pvp2261	terminase31
pvp2262	terminase31
pvp2263	terminase31
pvp2264	terminase31
pvp2265	terminase31
pvp2266	terminase31
pvp2267	terminase31
pvp2268	terminase31
pvp2269	terminase15
pvp2270	terminase14
pvp2270	terminase15
pvp2271	terminase15
pvp2272	terminase15
pvp2273	terminase31
pvp2274	terminase31
pvp2275	terminase15
pvp2276	terminase15
pvp2277	terminase3
pvp2278	terminase22
pvp2278	terminase24
pvp2278	terminase8
pvp2279	terminase1
pvp2280	terminase7
pvp2281	terminase14
pvp2281	terminase3
pvp2281	terminase8
pvp2282	terminase16
pvp2282	terminase3
pvp2282	terminase5
pvp2282	terminase6
pvp2283	terminase16
pvp2283	terminase5
pvp2283	terminase6
pvp2284	terminase14
pvp2284	terminase3
pvp2284	terminase7
pvp2285	terminase14
pvp2286	terminase14
pvp2287	terminase14
pvp2287	terminase6
pvp2287	terminase7
pvp2288	terminase14
pvp2289	terminase1
pvp2290	terminase1
pvp2290	terminase22
pvp2290	terminase9
pvp2291	terminase1
pvp2292	terminase1
pvp2293	terminase13
pvp2293	terminase6
pvp2294	terminase13
pvp2294	terminase6
pvp2295	terminase15
pvp2295	terminase38
pvp2296	terminase18
pvp2296	terminase9
pvp2297	terminase7
pvp2298	terminase18
pvp2298	terminase22
pvp2299	terminase16
pvp2299	terminase3
pvp2299	terminase31
pvp2299	terminase44
pvp2300	terminase26
pvp2301	terminase26
pvp2302	terminase1
pvp2302	terminase3
pvp2303	terminase11
pvp2304	terminase11
pvp2305	terminase11
pvp2306	terminase1
pvp2307	terminase5
pvp2308	terminase2
pvp2309	terminase2
pvp2310	terminase2
pvp2311	terminase11
pvp2311	terminase15
pvp2312	terminase2
pvp2313	terminase22
pvp2313	terminase39
pvp2314	terminase22
pvp2314	terminase39
pvp2315	terminase22
pvp2315	terminase39
pvp2316	terminase22
pvp2316	terminase39
pvp2317	terminase22
pvp2317	terminase39
pvp2318	terminase22
pvp2318	terminase39
pvp2319	terminase22
pvp2319	terminase39
pvp2320	terminase22
pvp2320	terminase39
pvp2321	terminase22
pvp2321	terminase39
pvp2322	terminase22
pvp2322	terminase39
pvp2323	terminase22
pvp2323	terminase39
pvp2324	terminase22
pvp2324	terminase39
pvp2325	terminase22
pvp2325	terminase39
pvp2326	terminase15
pvp2327	terminase39
pvp2327	terminase6
pvp2328	terminase5
pvp2328	terminase8
pvp2329	terminase34
pvp2330	terminase34
pvp2331	terminase34
pvp2332	terminase34
pvp2333	terminase34
pvp2334	terminase34
pvp2335	terminase34
pvp2336	terminase1
pvp2336	terminase8
pvp2337	terminase1
pvp2338	terminase15
pvp2339	terminase15
pvp2340	terminase15
pvp2341	terminase15
pvp2342	terminase14
pvp2342	terminase4
pvp2343	terminase15
pvp2343	terminase4
pvp2344	terminase14
pvp2344	terminase4
pvp2345	terminase15
pvp2345	terminase4
pvp2346	terminase15
pvp2346	terminase4
pvp2347	terminase15
pvp2347	terminase4
pvp2348	terminase14
pvp2348	terminase4
pvp2349	terminase15
pvp2350	terminase15
pvp2350	terminase4
pvp2351	terminase14
pvp2352	terminase16
pvp2353	terminase16
pvp2353	terminase28
pvp2354	terminase5
pvp2354	terminase8
pvp2355	terminase14
pvp2355	terminase16
pvp2355	terminase9
pvp2356	terminase29
pvp2357	terminase3
pvp2358	terminase29
pvp2359	terminase29
pvp2360	terminase29
pvp2361	terminase29
pvp2362	terminase29
pvp2363	terminase29
pvp2364	terminase29
pvp2365	terminase29
pvp2366	terminase29
pvp2367	terminase29
pvp2368	terminase29
pvp2369	terminase29
pvp2370	terminase29
pvp2371	terminase29
pvp2372	terminase29
pvp2373	terminase29
pvp2374	terminase29
pvp2375	terminase29
pvp2376	terminase29
pvp2377	terminase29
pvp2378	terminase29
pvp2379	terminase29
pvp2380	terminase29
pvp2381	terminase29
pvp2382	terminase29
pvp2383	terminase29
pvp2384	terminase29
pvp2385	terminase29
pvp2386	terminase29
pvp2387	terminase29
pvp2388	terminase29
pvp2389	terminase29
pvp2390	terminase29
pvp2391	terminase29
pvp2392	terminase29
pvp2393	terminase29
pvp2394	terminase29
pvp2395	terminase29
pvp2396	terminase29
pvp2397	terminase29
pvp2398	terminase29
pvp2399	terminase29
pvp2400	terminase29
pvp2401	terminase29
pvp2402	terminase29
pvp2403	terminase29
pvp2404	terminase29
pvp2405	terminase29
pvp2406	terminase29
pvp2407	terminase29
pvp2408	terminase29
pvp2409	terminase29
pvp2410	terminase29
pvp2411	terminase29
pvp2412	terminase29
pvp2413	terminase29
pvp2414	terminase29
pvp2415	terminase29
pvp2416	terminase29
pvp2417	terminase29
pvp2418	terminase29
pvp2419	terminase29
pvp2420	terminase29
pvp2421	terminase29
pvp2422	terminase29
pvp2423	terminase33
pvp2423	terminase6
pvp2424	terminase1
pvp2424	terminase14
pvp2425	terminase3
pvp2425	terminase8
pvp2426	terminase3
pvp2427	terminase3
pvp2428	terminase3
pvp2429	terminase3
pvp2430	terminase3
pvp2431	terminase3
pvp2432	terminase3
pvp2433	terminase3
pvp2434	terminase3
pvp2435	terminase3
pvp2436	terminase16
pvp2436	terminase3
pvp2436	terminase6
pvp2437	terminase24
pvp2437	terminase5
pvp2437	terminase6
pvp2438	terminase6
pvp2439	terminase6
pvp2440	terminase6
pvp2441	terminase3
pvp2441	terminase7
pvp2442	terminase3
pvp2442	terminase8
pvp2443	terminase13
pvp2443	terminase5
pvp2444	terminase14
pvp2445	terminase14
pvp2446	terminase14
pvp2446	terminase3
pvp2447	terminase14
pvp2448	terminase14
pvp2449	terminase14
pvp2450	terminase14
pvp2451	terminase1
pvp2451	terminase14
pvp2452	terminase14
pvp2453	terminase14
pvp2454	terminase14
pvp2455	terminase14
pvp2456	terminase14
pvp2457	terminase24
pvp2457	terminase25
pvp2458	terminase24
pvp2458	terminase25
pvp2459	terminase24
pvp2459	terminase5
pvp2460	terminase2
pvp2461	terminase6
pvp2461	terminase7
pvp2462	terminase7
pvp2463	terminase7
pvp2464	terminase22
pvp2464	terminase8
pvp2465	terminase22
pvp2465	terminase8
pvp2466	terminase16
pvp2466	terminase22
pvp2467	terminase16
pvp2467	terminase22
pvp2468	terminase22
pvp2468	terminase7
pvp2469	terminase1
pvp2469	terminase22
pvp2470	terminase24
pvp2470	terminase25
pvp2471	terminase24
pvp2471	terminase25
pvp2472	terminase25
pvp2472	terminase5
pvp2473	terminase16
pvp2473	terminase25
pvp2474	terminase16
pvp2474	terminase6
pvp2474	terminase9
pvp2475	terminase16
pvp2475	terminase24
pvp2475	terminase8
pvp2476	terminase13
pvp2476	terminase39
pvp2476	terminase44
pvp2477	terminase13
pvp2477	terminase39
pvp2477	terminase44
pvp2478	terminase16
pvp2478	terminase17
pvp2478	terminase9
pvp2479	terminase16
pvp2479	terminase5
pvp2479	terminase9
pvp2480	terminase16
pvp2480	terminase24
pvp2480	terminase25
pvp2481	terminase13
pvp2481	terminase9
pvp2482	terminase14
pvp2483	terminase14
pvp2484	terminase14
pvp2485	terminase14
pvp2486	terminase14
pvp2487	terminase14
pvp2488	terminase14
pvp2489	terminase14
pvp2490	terminase14
pvp2491	terminase14
pvp2492	terminase14
pvp2493	terminase14
pvp2494	terminase14
pvp2495	terminase14
pvp2496	terminase14
pvp2497	terminase14
pvp2498	terminase14
pvp2499	terminase14
pvp2500	terminase14
pvp2501	terminase14
pvp2502	terminase14
pvp2503	terminase14
pvp2504	terminase14
pvp2505	terminase14
pvp2505	terminase7
pvp2506	terminase14
pvp2507	terminase14
pvp2508	terminase14
pvp2509	terminase14
pvp2510	terminase14
pvp2510	terminase28
pvp2511	terminase14
pvp2512	terminase14
pvp2513	terminase14
pvp2514	terminase14
pvp2515	terminase14
pvp2516	terminase14
pvp2517	terminase14
pvp2518	terminase14
pvp2519	terminase14
pvp2520	terminase14
pvp2521	terminase14
pvp2522	terminase14
pvp2523	terminase14
pvp2524	terminase14
pvp2525	terminase8
pvp2526	terminase3
pvp2526	terminase8
pvp2527	terminase16
pvp2527	terminase8
pvp2528	terminase16
pvp2528	terminase8
pvp2529	terminase13
pvp2529	terminase18
pvp2529	terminase5
pvp2530	terminase13
pvp2530	terminase14
pvp2531	terminase13
pvp2532	terminase13
pvp2533	terminase39
pvp2534	terminase22
pvp2534	terminase8
pvp2535	terminase5
pvp2535	terminase8
pvp2535	terminase9
pvp2536	terminase14
pvp2537	terminase14
pvp2538	terminase14
pvp2539	terminase14
pvp2540	terminase14
pvp2541	terminase14
pvp2542	terminase14
pvp2543	terminase14
pvp2544	terminase14
pvp2545	terminase14
pvp2546	terminase11
pvp2547	terminase11
pvp2548	terminase11
pvp2548	terminase32
pvp2549	terminase11
pvp2549	terminase32
pvp2550	terminase2
pvp2551	terminase2
pvp2552	terminase2
pvp2553	terminase2
pvp2554	terminase2
pvp2555	terminase2
pvp2556	terminase2
pvp2557	terminase2
pvp2558	terminase2
pvp2559	terminase2
pvp2560	terminase2
pvp2561	terminase2
pvp2562	terminase2
pvp2563	terminase2
pvp2564	terminase2
pvp2565	terminase2
pvp2566	terminase2
pvp2567	terminase2
pvp2568	terminase2
pvp2569	terminase2
pvp2570	terminase2
pvp2571	terminase2
pvp2572	terminase2
pvp2573	terminase2
pvp2574	terminase2
pvp2575	terminase2
pvp2576	terminase2
pvp2577	terminase2
pvp2578	terminase2
pvp2579	terminase2
pvp2580	terminase2
pvp2581	terminase2
pvp2582	terminase2
pvp2583	terminase2
pvp2584	terminase2
pvp2585	terminase2
pvp2586	terminase2
pvp2587	terminase2
pvp2588	terminase2
pvp2589	terminase2
pvp2590	terminase2
pvp2591	terminase2
pvp2592	terminase3
pvp2593	terminase3
pvp2593	terminase5
pvp2594	terminase3
pvp2595	terminase3
pvp2596	terminase31
pvp2597	terminase31
pvp2598	terminase31
pvp2599	terminase31
pvp2600	terminase31
pvp2601	terminase31
pvp2602	terminase10
pvp2602	terminase15
pvp2603	terminase1
pvp2603	terminase15
pvp2604	terminase15
pvp2604	terminase28
pvp2605	terminase14
pvp2605	terminase15
pvp2606	terminase24
pvp2606	terminase4
pvp2607	terminase22
pvp2607	terminase24
pvp2607	terminase44
pvp2608	terminase1
pvp2609	terminase1
pvp2610	terminase1
pvp2611	terminase28
pvp2611	terminase8
pvp2612	terminase5
pvp2612	terminase9
pvp2613	terminase13
pvp2613	terminase44
pvp2614	terminase22
pvp2614	terminase5
pvp2615	terminase22
pvp2615	terminase8
pvp2616	terminase16
pvp2616	terminase22
pvp2616	terminase3
pvp2617	terminase16
pvp2617	terminase22
pvp2617	terminase24
pvp2618	terminase22
pvp2618	terminase5
pvp2619	terminase7
pvp2620	terminase5
pvp2620	terminase8
pvp2621	terminase25
pvp2621	terminase5
pvp2622	terminase25
pvp2622	terminase5
pvp2623	terminase16
pvp2623	terminase6
pvp2624	terminase14
pvp2625	terminase14
pvp2625	terminase4
pvp2626	terminase14
pvp2627	terminase14
pvp2628	terminase14
pvp2629	terminase11
pvp2629	terminase14
pvp2630	terminase14
pvp2631	terminase14
pvp2632	terminase1
pvp2633	terminase1
pvp2633	terminase11
pvp2634	terminase1
pvp2634	terminase9
pvp2635	terminase25
pvp2635	terminase5
pvp2636	terminase1
pvp2636	terminase33
pvp2637	terminase6
pvp2637	terminase7
pvp2638	terminase7
pvp2639	terminase10
pvp2639	terminase11
pvp2640	terminase10
pvp2640	terminase4
pvp2641	terminase6
pvp2642	terminase1
pvp2642	terminase14
pvp2643	terminase38
pvp2644	terminase13
pvp2644	terminase38
pvp2645	terminase18
pvp2646	terminase1
pvp2646	terminase7
pvp2647	terminase1
pvp2647	terminase7
pvp2648	terminase18
pvp2649	terminase18
pvp2650	terminase18
pvp2651	terminase26
pvp2652	terminase26
pvp2653	terminase26
pvp2654	terminase26
pvp2655	terminase26
pvp2656	terminase26
pvp2657	terminase26
pvp2658	terminase26
pvp2659	terminase26
pvp2660	terminase26
pvp2661	terminase26
pvp2662	terminase26
pvp2663	terminase26
pvp2664	terminase26
pvp2665	terminase26
pvp2666	terminase26
pvp2667	terminase1
pvp2668	terminase1
pvp2669	terminase1
pvp2670	terminase11
pvp2671	terminase7
pvp2672	terminase14
pvp2673	terminase14
pvp2674	terminase14
pvp2675	terminase7
pvp2676	terminase5
pvp2677	terminase2
pvp2677	terminase7
pvp2678	terminase7
pvp2679	terminase1
pvp2680	terminase11
pvp2680	terminase15
pvp2681	terminase5
pvp2682	terminase3
pvp2683	terminase3
pvp2684	terminase11
pvp2685	terminase11
pvp2685	terminase15
pvp2686	terminase11
pvp2687	terminase11
pvp2688	terminase11
pvp2688	terminase15
pvp2689	terminase11
pvp2690	terminase11
pvp2691	terminase11
pvp2691	terminase32
pvp2692	terminase11
pvp2693	terminase11
pvp2694	terminase11
pvp2695	terminase11
pvp2696	terminase11
pvp2697	terminase11
pvp2698	terminase5
pvp2698	terminase8
pvp2699	terminase13
pvp2699	terminase6
pvp2700	terminase1
pvp2700	terminase6
pvp2701	terminase3
pvp2701	terminase6
pvp2702	terminase13
pvp2702	terminase6
pvp2703	terminase1
pvp2703	terminase5
pvp2703	terminase8
pvp2704	terminase14
pvp2704	terminase5
pvp2705	terminase3
pvp2705	terminase6
pvp2705	terminase7
pvp2706	terminase33
pvp2707	terminase13
pvp2707	terminase18
pvp2708	terminase18
pvp2709	terminase18
pvp2709	terminase9
pvp2710	terminase1
pvp2710	terminase44
pvp2710	terminase8
pvp2711	terminase18
pvp2711	terminase9
pvp2712	terminase22
pvp2712	terminase39
pvp2713	terminase15
pvp2714	terminase15
pvp2715	terminase15
pvp2716	terminase15
pvp2717	terminase15
pvp2717	terminase38
pvp2718	terminase15
pvp2718	terminase38
pvp2719	terminase15
pvp2719	terminase38
pvp2720	terminase15
pvp2721	terminase15
pvp2722	terminase15
pvp2723	terminase15
pvp2724	terminase1
pvp2724	terminase15
pvp2725	terminase15
pvp2725	terminase38
pvp2726	terminase15
pvp2727	terminase15
pvp2728	terminase15
pvp2729	terminase3
pvp2729	terminase8
pvp2730	terminase39
pvp2731	terminase39
pvp2732	terminase39
pvp2733	terminase34
pvp2733	terminase8
pvp2734	terminase24
pvp2735	terminase24
pvp2736	terminase24
pvp2737	terminase24
pvp2738	terminase13
pvp2738	terminase8
pvp2739	terminase5
pvp2739	terminase8
pvp2740	terminase15
pvp2740	terminase26
pvp2741	terminase1
pvp2742	terminase15
pvp2743	terminase15
pvp2744	terminase15
pvp2745	terminase15
pvp2746	terminase14
pvp2747	terminase14
pvp2748	terminase15
pvp2749	terminase15
pvp2750	terminase15
pvp2751	terminase15
pvp2752	terminase15
pvp2753	terminase15
pvp2754	terminase4
pvp2755	terminase4
pvp2756	terminase4
pvp2757	terminase16
pvp2757	terminase8
pvp2758	terminase16
pvp2758	terminase5
pvp2759	terminase16
pvp2759	terminase7
pvp2760	terminase3
pvp2760	terminase6
pvp2761	terminase33
pvp2762	terminase33
pvp2763	terminase33
pvp2764	terminase1
pvp2764	terminase11
pvp2765	terminase3
pvp2766	terminase16
pvp2766	terminase3
pvp2767	terminase3
pvp2768	terminase1
pvp2768	terminase3
pvp2769	terminase3
pvp2770	terminase3
pvp2771	terminase3
pvp2772	terminase3
pvp2773	terminase6
pvp2774	terminase6
pvp2775	terminase14
pvp2775	terminase15
pvp2776	terminase14
pvp2777	terminase14
pvp2778	terminase14
pvp2778	terminase15
pvp2779	terminase14
pvp2780	terminase14
pvp2781	terminase14
pvp2782	terminase14
pvp2783	terminase14
pvp2783	terminase8
pvp2784	terminase14
pvp2785	terminase14
pvp2785	terminase15
pvp2786	terminase14
pvp2787	terminase14
pvp2788	terminase14
pvp2789	terminase14
pvp2790	terminase34
pvp2791	terminase24
pvp2791	terminase5
pvp2792	terminase1
pvp2792	terminase5
pvp2793	terminase2
pvp2793	terminase3
pvp2794	terminase7
pvp2795	tectviridae
pvp2796	terminase7
pvp2797	terminase7
pvp2798	terminase7
pvp2799	terminase22
pvp2800	terminase22
pvp2800	terminase5
pvp2801	terminase25
pvp2802	terminase25
pvp2803	terminase25
pvp2804	terminase25
pvp2805	terminase25
pvp2806	terminase13
pvp2806	terminase44
pvp2807	terminase13
pvp2807	terminase44
pvp2808	terminase13
pvp2808	terminase33
pvp2809	terminase13
pvp2809	terminase24
pvp2810	terminase13
pvp2810	terminase33
pvp2811	terminase16
pvp2811	terminase3
pvp2812	terminase3
pvp2812	terminase8
pvp2813	terminase9
pvp2814	terminase9
pvp2815	terminase16
pvp2816	terminase25
pvp2816	terminase9
pvp2817	terminase22
pvp2817	terminase25
pvp2818	terminase25
pvp2818	terminase6
pvp2819	terminase14
pvp2820	terminase14
pvp2821	terminase14
pvp2822	terminase14
pvp2823	terminase14
pvp2824	terminase14
pvp2825	terminase14
pvp2826	terminase14
pvp2827	terminase14
pvp2828	terminase14
pvp2829	terminase14
pvp2830	terminase14
pvp2831	terminase14
pvp2832	terminase14
pvp2833	terminase14
pvp2834	terminase10
pvp2834	terminase14
pvp2835	terminase14
pvp2836	terminase14
pvp2837	terminase14
pvp2838	terminase14
pvp2839	terminase14
pvp2840	terminase14
pvp2841	terminase14
pvp2842	terminase14
pvp2843	terminase14
pvp2844	terminase14
pvp2845	terminase14
pvp2846	terminase14
pvp2846	terminase15
pvp2847	terminase14
pvp2848	terminase14
pvp2849	terminase14
pvp2850	terminase8
pvp2851	terminase8
pvp2852	terminase8
pvp2853	terminase8
pvp2854	terminase8
pvp2855	terminase8
pvp2856	terminase8
pvp2857	terminase16
pvp2858	terminase2
pvp2859	terminase13
pvp2860	terminase13
pvp2861	terminase16
pvp2861	terminase7
pvp2862	terminase16
pvp2862	terminase8
pvp2863	terminase8
pvp2864	terminase1
pvp2864	terminase8
pvp2865	terminase1
pvp2865	terminase8
pvp2866	terminase1
pvp2866	terminase8
pvp2867	terminase8
pvp2868	terminase14
pvp2869	terminase14
pvp2870	terminase14
pvp2871	terminase14
pvp2872	terminase14
pvp2873	terminase14
pvp2874	terminase14
pvp2875	terminase14
pvp2876	terminase14
pvp2877	terminase14
pvp2878	terminase14
pvp2879	terminase14
pvp2880	terminase14
pvp2881	terminase14
pvp2882	terminase14
pvp2883	terminase14
pvp2884	terminase14
pvp2885	terminase14
pvp2886	terminase14
pvp2887	terminase14
pvp2888	terminase14
pvp2889	terminase14
pvp2890	terminase14
pvp2891	terminase14
pvp2892	terminase14
pvp2893	terminase14
pvp2894	terminase14
pvp2895	terminase14
pvp2896	terminase14
pvp2897	terminase14
pvp2898	terminase14
pvp2899	terminase14
pvp2900	terminase14
pvp2900	terminase15
pvp2901	terminase14
pvp2902	terminase14
pvp2902	terminase15
pvp2903	terminase14
pvp2904	terminase14
pvp2905	terminase14
pvp2905	terminase5
pvp2906	terminase14
pvp2907	terminase14
pvp2908	terminase14
pvp2909	terminase14
pvp2910	terminase14
pvp2911	terminase14
pvp2912	terminase14
pvp2913	terminase14
pvp2914	terminase14
pvp2915	terminase14
pvp2916	terminase14
pvp2917	terminase14
pvp2918	terminase14
pvp2918	terminase15
pvp2919	terminase14
pvp2920	terminase14
pvp2921	terminase14
pvp2922	terminase14
pvp2923	terminase14
pvp2924	terminase14
pvp2925	terminase14
pvp2926	terminase14
pvp2927	terminase14
pvp2928	terminase14
pvp2929	terminase14
pvp2930	terminase1
pvp2930	terminase14
pvp2931	terminase11
pvp2932	terminase11
pvp2933	terminase11
pvp2934	terminase11
pvp2935	terminase11
pvp2936	terminase11
pvp2937	terminase11
pvp2938	terminase11
pvp2939	terminase11
pvp2940	terminase11
