protein_cluster	tg
pvp1097	terminase18
pvp1097	terminase24
pvp1097	terminase25
pvp1097	terminase5
pvp1097	terminase6
pvp1098	terminase13
pvp1098	terminase16
pvp1098	terminase18
pvp1098	terminase22
pvp1098	terminase24
pvp1098	terminase3
pvp1098	terminase5
pvp1098	terminase6
pvp1098	terminase7
pvp1098	terminase8
pvp1098	terminase9
pvp1099	terminase1
pvp1099	terminase13
pvp1099	terminase16
pvp1099	terminase18
pvp1099	terminase22
pvp1099	terminase24
pvp1099	terminase34
pvp1099	terminase39
pvp1099	terminase5
pvp1099	terminase8
pvp1099	terminase9
pvp1100	terminase13
pvp1100	terminase24
pvp1100	terminase25
pvp1100	terminase38
pvp1100	terminase4
pvp1100	terminase5
pvp1100	terminase6
pvp1100	terminase9
pvp1101	terminase13
pvp1101	terminase18
pvp1101	terminase44
pvp1101	terminase5
pvp1101	terminase9
pvp1102	terminase13
pvp1102	terminase18
pvp1102	terminase44
pvp1102	terminase5
pvp1102	terminase9
pvp1103	terminase13
pvp1103	terminase18
pvp1103	terminase44
pvp1103	terminase5
pvp1103	terminase9
pvp1104	terminase13
pvp1104	terminase16
pvp1104	terminase18
pvp1104	terminase22
pvp1104	terminase24
pvp1104	terminase25
pvp1104	terminase3
pvp1104	terminase44
pvp1104	terminase5
pvp1104	terminase6
pvp1104	terminase8
pvp1104	terminase9
pvp1105	terminase13
pvp1105	terminase16
pvp1105	terminase18
pvp1105	terminase22
pvp1105	terminase24
pvp1105	terminase3
pvp1105	terminase5
pvp1105	terminase6
pvp1105	terminase8
pvp1105	terminase9
pvp1106	terminase1
pvp1107	terminase1
pvp1107	terminase4
pvp1108	terminase16
pvp1108	terminase22
pvp1108	terminase24
pvp1108	terminase25
pvp1108	terminase5
pvp1108	terminase8
pvp1109	terminase16
pvp1109	terminase22
pvp1109	terminase24
pvp1109	terminase25
pvp1109	terminase5
pvp1109	terminase8
pvp1110	terminase16
pvp1110	terminase22
pvp1110	terminase24
pvp1110	terminase25
pvp1110	terminase5
pvp1110	terminase8
pvp1111	terminase16
pvp1111	terminase22
pvp1111	terminase24
pvp1111	terminase25
pvp1111	terminase5
pvp1111	terminase8
pvp1112	terminase16
pvp1112	terminase22
pvp1112	terminase24
pvp1112	terminase25
pvp1112	terminase5
pvp1112	terminase8
pvp1113	terminase16
pvp1113	terminase22
pvp1113	terminase24
pvp1113	terminase25
pvp1113	terminase5
pvp1113	terminase8
pvp1114	terminase13
pvp1114	terminase18
pvp1114	terminase5
pvp1114	terminase9
pvp1115	terminase13
pvp1115	terminase18
pvp1115	terminase44
pvp1115	terminase5
pvp1115	terminase9
pvp1116	terminase13
pvp1116	terminase16
pvp1116	terminase22
pvp1116	terminase3
pvp1116	terminase5
pvp1116	terminase6
pvp1116	terminase7
pvp1117	terminase1
pvp1118	terminase1
pvp1119	terminase13
pvp1119	terminase22
pvp1119	terminase24
pvp1119	terminase3
pvp1119	terminase34
pvp1119	terminase39
pvp1119	terminase5
pvp1119	terminase6
pvp1119	terminase7
pvp1119	terminase9
pvp1120	terminase1
pvp1120	terminase16
pvp1120	terminase22
pvp1120	terminase3
pvp1121	terminase13
pvp1121	terminase14
pvp1121	terminase2
pvp1121	terminase22
pvp1121	terminase31
pvp1121	terminase5
pvp1121	terminase8
pvp1121	terminase9
pvp1122	terminase16
pvp1122	terminase22
pvp1122	terminase24
pvp1122	terminase25
pvp1122	terminase5
pvp1122	terminase8
pvp1123	terminase13
pvp1123	terminase18
pvp1123	terminase44
pvp1123	terminase5
pvp1123	terminase9
pvp1124	terminase13
pvp1124	terminase16
pvp1124	terminase26
pvp1124	terminase3
pvp1124	terminase31
pvp1124	terminase39
pvp1124	terminase5
pvp1124	terminase6
pvp1124	terminase8
pvp1124	terminase9
pvp1125	terminase13
pvp1125	terminase14
pvp1125	terminase15
pvp1125	terminase18
pvp1125	terminase9
pvp1126	terminase1
pvp1126	terminase14
pvp1126	terminase23
pvp1126	terminase26
pvp1126	terminase3
pvp1126	terminase31
pvp1127	terminase16
pvp1127	terminase22
pvp1127	terminase24
pvp1127	terminase25
pvp1127	terminase5
pvp1127	terminase8
pvp1128	terminase16
pvp1128	terminase22
pvp1128	terminase24
pvp1128	terminase25
pvp1128	terminase5
pvp1128	terminase8
pvp1129	terminase1
pvp1129	terminase3
pvp1130	terminase1
pvp1131	terminase1
pvp1131	terminase3
pvp1132	terminase13
pvp1132	terminase16
pvp1132	terminase24
pvp1132	terminase5
pvp1132	terminase6
pvp1132	terminase7
pvp1133	terminase13
pvp1133	terminase3
pvp1133	terminase31
pvp1133	terminase4
pvp1133	terminase5
pvp1133	terminase6
pvp1134	terminase1
pvp1134	terminase3
pvp1135	terminase1
pvp1135	terminase3
pvp1136	terminase1
pvp1136	terminase13
pvp1136	terminase18
pvp1136	terminase25
pvp1136	terminase28
pvp1136	terminase3
pvp1136	terminase44
pvp1136	terminase5
pvp1136	terminase7
pvp1136	terminase8
pvp1136	terminase9
pvp1137	terminase14
pvp1137	terminase3
pvp1137	terminase4
pvp1137	terminase7
pvp1138	terminase18
pvp1138	terminase24
pvp1138	terminase9
pvp1139	terminase1
pvp1139	terminase11
pvp1139	terminase16
pvp1139	terminase22
pvp1139	terminase3
pvp1139	terminase39
pvp1139	terminase5
pvp1139	terminase9
pvp1140	terminase1
pvp1141	terminase1
pvp1141	terminase13
pvp1141	terminase9
pvp1142	terminase13
pvp1142	terminase16
pvp1142	terminase18
pvp1142	terminase22
pvp1142	terminase24
pvp1142	terminase25
pvp1142	terminase34
pvp1142	terminase5
pvp1142	terminase8
pvp1142	terminase9
pvp1143	terminase13
pvp1143	terminase18
pvp1143	terminase33
pvp1143	terminase44
pvp1143	terminase5
pvp1143	terminase8
pvp1143	terminase9
pvp1144	terminase16
pvp1144	terminase3
pvp1144	terminase5
pvp1144	terminase8
pvp1145	terminase1
pvp1145	terminase3
pvp1146	terminase16
pvp1146	terminase22
pvp1146	terminase24
pvp1146	terminase25
pvp1146	terminase3
pvp1146	terminase5
pvp1146	terminase9
pvp1147	terminase13
pvp1147	terminase18
pvp1147	terminase22
pvp1147	terminase24
pvp1147	terminase44
pvp1147	terminase5
pvp1147	terminase8
pvp1147	terminase9
pvp1148	terminase1
pvp1148	terminase13
pvp1148	terminase14
pvp1148	terminase22
pvp1148	terminase3
pvp1148	terminase5
pvp1148	terminase7
pvp1148	terminase8
pvp1148	terminase9
pvp1149	terminase1
pvp1149	terminase22
pvp1149	terminase5
pvp1149	terminase7
pvp1149	terminase8
pvp1150	terminase13
pvp1150	terminase18
pvp1150	terminase5
pvp1150	terminase9
pvp1151	terminase12
pvp1151	terminase16
pvp1151	terminase22
pvp1151	terminase5
pvp1151	terminase8
pvp1152	terminase13
pvp1152	terminase16
pvp1152	terminase18
pvp1152	terminase24
pvp1152	terminase25
pvp1152	terminase44
pvp1152	terminase5
pvp1152	terminase8
pvp1152	terminase9
pvp1153	terminase1
pvp1154	terminase1
pvp1155	terminase1
pvp1155	terminase3
pvp1156	terminase1
pvp1157	terminase13
pvp1157	terminase9
pvp1158	terminase14
pvp1158	terminase22
pvp1158	terminase3
pvp1158	terminase7
pvp1158	terminase8
pvp1159	terminase16
pvp1159	terminase22
pvp1159	terminase25
pvp1159	terminase5
pvp1159	terminase8
pvp1160	terminase16
pvp1160	terminase22
pvp1160	terminase25
pvp1160	terminase5
pvp1160	terminase8
pvp1161	terminase14
pvp1161	terminase3
pvp1162	terminase28
pvp1162	terminase3
pvp1162	terminase5
pvp1163	terminase1
pvp1164	terminase1
pvp1165	terminase1
pvp1166	terminase13
pvp1166	terminase6
pvp1166	terminase7
pvp1167	terminase13
pvp1167	terminase6
pvp1167	terminase7
pvp1168	terminase13
pvp1168	terminase6
pvp1168	terminase7
pvp1169	terminase13
pvp1169	terminase6
pvp1169	terminase7
pvp1170	terminase13
pvp1170	terminase9
pvp1171	terminase13
pvp1171	terminase9
pvp1172	terminase22
pvp1172	terminase5
pvp1172	terminase7
pvp1172	terminase8
pvp1173	terminase22
pvp1173	terminase5
pvp1173	terminase7
pvp1173	terminase8
pvp1174	terminase22
pvp1174	terminase5
pvp1174	terminase7
pvp1174	terminase8
pvp1175	terminase22
pvp1175	terminase5
pvp1175	terminase7
pvp1175	terminase8
pvp1176	terminase13
pvp1176	terminase16
pvp1176	terminase18
pvp1176	terminase22
pvp1176	terminase25
pvp1176	terminase34
pvp1176	terminase5
pvp1176	terminase8
pvp1176	terminase9
pvp1177	terminase13
pvp1177	terminase18
pvp1177	terminase5
pvp1177	terminase9
pvp1178	terminase1
pvp1179	terminase1
pvp1180	terminase22
pvp1180	terminase7
pvp1180	terminase8
pvp1181	terminase22
pvp1181	terminase7
pvp1181	terminase8
pvp1182	terminase22
pvp1182	terminase7
pvp1182	terminase8
pvp1183	terminase22
pvp1183	terminase7
pvp1183	terminase8
pvp1184	terminase13
pvp1184	terminase18
pvp1184	terminase44
pvp1184	terminase5
pvp1184	terminase9
pvp1185	terminase13
pvp1185	terminase18
pvp1185	terminase5
pvp1185	terminase8
pvp1185	terminase9
pvp1186	tectviridae
pvp1187	tectviridae
pvp1188	tectviridae
pvp1189	tectviridae
pvp1190	tectviridae
pvp1191	terminase3
pvp1192	terminase3
pvp1193	terminase3
pvp1194	terminase3
pvp1195	terminase3
pvp1196	terminase3
pvp1197	terminase3
pvp1198	terminase3
pvp1199	terminase16
pvp1199	terminase3
pvp1200	terminase3
pvp1201	terminase3
pvp1202	terminase3
pvp1203	terminase3
pvp1204	terminase3
pvp1205	terminase3
pvp1206	terminase2
pvp1206	terminase3
pvp1206	terminase33
pvp1206	terminase5
pvp1206	terminase6
pvp1207	terminase1
pvp1208	terminase13
pvp1208	terminase16
pvp1208	terminase22
pvp1208	terminase5
pvp1208	terminase6
pvp1208	terminase7
pvp1209	terminase1
pvp1210	terminase13
pvp1210	terminase24
pvp1210	terminase25
pvp1210	terminase5
pvp1210	terminase9
pvp1211	terminase13
pvp1211	terminase18
pvp1211	terminase5
pvp1211	terminase9
pvp1212	terminase13
pvp1212	terminase18
pvp1212	terminase9
pvp1213	terminase13
pvp1213	terminase18
pvp1213	terminase5
pvp1213	terminase8
pvp1213	terminase9
pvp1214	terminase14
pvp1214	terminase16
pvp1214	terminase23
pvp1214	terminase24
pvp1215	terminase16
pvp1215	terminase22
pvp1215	terminase24
pvp1215	terminase25
pvp1215	terminase44
pvp1215	terminase5
pvp1215	terminase8
pvp1216	terminase3
pvp1217	terminase3
pvp1218	terminase3
pvp1219	terminase1
pvp1219	terminase13
pvp1219	terminase3
pvp1219	terminase5
pvp1219	terminase6
pvp1220	terminase3
pvp1221	terminase3
pvp1222	terminase3
pvp1223	terminase1
pvp1224	terminase1
pvp1224	terminase22
pvp1224	terminase23
pvp1224	terminase3
pvp1224	terminase31
pvp1224	terminase39
pvp1224	terminase5
pvp1224	terminase6
pvp1224	terminase8
pvp1225	terminase1
pvp1226	tectviridae
pvp1227	tectviridae
pvp1228	tectviridae
pvp1229	tectviridae
pvp1230	tectviridae
pvp1231	tectviridae
pvp1232	tectviridae
pvp1233	tectviridae
pvp1234	tectviridae
pvp1235	tectviridae
pvp1236	tectviridae
pvp1237	tectviridae
pvp1238	tectviridae
pvp1239	terminase14
pvp1239	terminase15
pvp1239	terminase2
pvp1239	terminase4
pvp1240	terminase16
pvp1240	terminase22
pvp1240	terminase25
pvp1241	terminase16
pvp1241	terminase22
pvp1241	terminase24
pvp1241	terminase25
pvp1241	terminase5
pvp1241	terminase8
pvp1242	terminase16
pvp1242	terminase22
pvp1242	terminase25
pvp1242	terminase5
pvp1242	terminase8
pvp1243	terminase16
pvp1243	terminase2
pvp1243	terminase22
pvp1243	terminase24
pvp1243	terminase25
pvp1243	terminase5
pvp1244	terminase13
pvp1244	terminase18
pvp1244	terminase5
pvp1244	terminase9
pvp1245	terminase13
pvp1245	terminase18
pvp1245	terminase5
pvp1245	terminase9
pvp1246	terminase13
pvp1246	terminase16
pvp1246	terminase18
pvp1246	terminase22
pvp1246	terminase24
pvp1246	terminase5
pvp1246	terminase8
pvp1246	terminase9
pvp1247	terminase3
pvp1248	terminase13
pvp1248	terminase6
pvp1248	terminase7
pvp1249	terminase1
pvp1249	terminase18
pvp1249	terminase25
pvp1249	terminase3
pvp1249	terminase6
pvp1249	terminase7
pvp1250	terminase1
pvp1251	terminase13
pvp1251	terminase24
pvp1251	terminase25
pvp1251	terminase5
pvp1252	terminase24
pvp1252	terminase25
pvp1252	terminase7
pvp1253	terminase11
pvp1253	terminase7
pvp1253	terminase8
pvp1254	terminase1
pvp1255	terminase14
pvp1255	terminase16
pvp1255	terminase22
pvp1255	terminase24
pvp1255	terminase25
pvp1255	terminase4
pvp1255	terminase5
pvp1255	terminase7
pvp1256	terminase13
pvp1256	terminase18
pvp1256	terminase5
pvp1256	terminase9
pvp1257	terminase3
pvp1258	terminase1
pvp1258	terminase13
pvp1258	terminase16
pvp1258	terminase18
pvp1258	terminase22
pvp1258	terminase3
pvp1258	terminase33
pvp1258	terminase8
pvp1258	terminase9
pvp1259	terminase1
pvp1260	terminase24
pvp1260	terminase25
pvp1260	terminase5
pvp1261	terminase5
pvp1261	terminase7
pvp1261	terminase8
pvp1262	terminase1
pvp1262	terminase7
pvp1262	terminase8
pvp1263	terminase13
pvp1263	terminase18
pvp1263	terminase5
pvp1263	terminase9
pvp1264	terminase23
pvp1264	terminase26
pvp1264	terminase3
pvp1265	terminase16
pvp1265	terminase22
pvp1265	terminase25
pvp1265	terminase5
pvp1265	terminase8
pvp1266	tectviridae
pvp1266	terminase12
pvp1267	terminase13
pvp1267	terminase24
pvp1267	terminase25
pvp1267	terminase5
pvp1267	terminase6
pvp1268	terminase3
pvp1268	terminase7
pvp1269	terminase13
pvp1269	terminase5
pvp1269	terminase9
pvp1270	terminase13
pvp1270	terminase5
pvp1270	terminase9
pvp1271	terminase11
pvp1271	terminase7
pvp1272	terminase44
pvp1272	terminase5
pvp1272	terminase6
pvp1272	terminase7
pvp1272	terminase8
pvp1272	terminase9
pvp1273	terminase5
pvp1273	terminase7
pvp1273	terminase9
pvp1274	terminase13
pvp1274	terminase2
pvp1274	terminase23
pvp1274	terminase34
pvp1274	terminase5
pvp1275	terminase14
pvp1275	terminase15
pvp1275	terminase2
pvp1275	terminase4
pvp1276	terminase14
pvp1276	terminase15
pvp1276	terminase2
pvp1276	terminase4
pvp1277	terminase14
pvp1277	terminase15
pvp1277	terminase2
pvp1277	terminase38
pvp1277	terminase4
pvp1278	terminase16
pvp1278	terminase22
pvp1278	terminase24
pvp1278	terminase25
pvp1278	terminase5
pvp1278	terminase8
pvp1279	terminase16
pvp1279	terminase22
pvp1279	terminase24
pvp1279	terminase25
pvp1279	terminase5
pvp1279	terminase8
pvp1280	terminase13
pvp1280	terminase18
pvp1280	terminase22
pvp1280	terminase24
pvp1280	terminase25
pvp1280	terminase5
pvp1280	terminase9
pvp1281	terminase25
pvp1281	terminase3
pvp1281	terminase5
pvp1281	terminase6
pvp1281	terminase8
pvp1282	terminase1
pvp1282	terminase13
pvp1282	terminase3
pvp1282	terminase38
pvp1283	terminase13
pvp1283	terminase6
pvp1283	terminase7
pvp1284	terminase13
pvp1284	terminase18
pvp1284	terminase44
pvp1284	terminase5
pvp1284	terminase8
pvp1284	terminase9
pvp1285	terminase13
pvp1285	terminase16
pvp1285	terminase18
pvp1285	terminase22
pvp1285	terminase5
pvp1285	terminase6
pvp1285	terminase8
pvp1285	terminase9
pvp1286	terminase1
pvp1286	terminase2
pvp1287	terminase7
pvp1288	terminase14
pvp1288	terminase7
pvp1289	terminase7
pvp1290	terminase7
pvp1291	terminase7
pvp1292	terminase7
pvp1293	terminase7
pvp1294	terminase7
pvp1295	terminase7
pvp1296	terminase7
pvp1297	terminase7
pvp1298	terminase7
pvp1299	terminase7
pvp1300	terminase7
pvp1301	terminase7
pvp1302	terminase7
pvp1303	terminase1
pvp1304	terminase23
pvp1304	terminase24
pvp1304	terminase33
pvp1305	terminase13
pvp1305	terminase16
pvp1305	terminase18
pvp1305	terminase5
pvp1305	terminase9
pvp1306	terminase13
pvp1306	terminase3
pvp1306	terminase9
pvp1307	terminase9
pvp1308	terminase22
pvp1308	terminase24
pvp1308	terminase25
pvp1308	terminase5
pvp1309	terminase22
pvp1309	terminase24
pvp1309	terminase25
pvp1309	terminase5
pvp1310	terminase2
pvp1311	terminase2
pvp1312	terminase2
pvp1313	terminase2
pvp1314	terminase2
pvp1315	terminase2
pvp1316	terminase2
pvp1317	terminase7
pvp1318	terminase2
pvp1319	terminase2
pvp1320	terminase16
pvp1320	terminase22
pvp1320	terminase25
pvp1320	terminase3
pvp1320	terminase5
pvp1320	terminase8
pvp1321	terminase16
pvp1321	terminase22
pvp1321	terminase25
pvp1321	terminase3
pvp1321	terminase5
pvp1321	terminase8
pvp1322	terminase13
pvp1322	terminase14
pvp1322	terminase18
pvp1322	terminase34
pvp1322	terminase38
pvp1322	terminase5
pvp1322	terminase8
pvp1322	terminase9
pvp1323	terminase13
pvp1323	terminase14
pvp1323	terminase16
pvp1323	terminase22
pvp1323	terminase5
pvp1323	terminase9
pvp1324	terminase14
pvp1324	terminase15
pvp1324	terminase31
pvp1324	terminase4
pvp1325	terminase16
pvp1325	terminase22
pvp1325	terminase39
pvp1326	terminase16
pvp1326	terminase22
pvp1326	terminase5
pvp1327	terminase13
pvp1327	terminase15
pvp1327	terminase16
pvp1327	terminase32
pvp1327	terminase44
pvp1327	terminase5
pvp1327	terminase7
pvp1327	terminase9
pvp1328	terminase3
pvp1329	terminase16
pvp1329	terminase22
pvp1329	terminase24
pvp1329	terminase28
pvp1329	terminase3
pvp1329	terminase5
pvp1329	terminase6
pvp1329	terminase7
pvp1329	terminase8
pvp1330	terminase1
pvp1330	terminase11
pvp1330	terminase24
pvp1330	terminase25
pvp1330	terminase5
pvp1330	terminase7
pvp1331	terminase13
pvp1331	terminase18
pvp1331	terminase9
pvp1332	terminase22
pvp1332	terminase24
pvp1332	terminase25
pvp1332	terminase5
pvp1333	terminase7
pvp1334	terminase22
pvp1334	terminase25
pvp1334	terminase3
pvp1334	terminase5
pvp1334	terminase8
pvp1335	terminase22
pvp1335	terminase25
pvp1335	terminase3
pvp1335	terminase5
