groupi	groupj	w
terminase2	terminase1	7
terminase2	terminase10	1
terminase2	terminase11	6
terminase2	terminase12	1
terminase2	terminase13	10
terminase2	terminase14	24
terminase2	terminase15	16
terminase2	terminase16	6
terminase2	terminase17	1
terminase2	terminase18	7
terminase2	terminase22	5
terminase2	terminase23	2
terminase2	terminase24	8
terminase2	terminase25	6
terminase2	terminase26	2
terminase2	terminase28	2
terminase2	terminase29	2
terminase2	terminase3	8
terminase2	terminase31	4
terminase2	terminase32	4
terminase2	terminase33	2
terminase2	terminase34	6
terminase2	terminase38	3
terminase2	terminase39	3
terminase2	terminase4	8
terminase2	terminase44	6
terminase2	terminase5	15
terminase2	terminase6	7
terminase2	terminase7	8
terminase2	terminase8	5
terminase2	terminase9	9
terminase22	tectviridae	1
terminase22	terminase1	17
terminase22	terminase10	1
terminase22	terminase11	2
terminase22	terminase12	2
terminase22	terminase13	28
terminase22	terminase14	12
terminase22	terminase15	4
terminase22	terminase16	81
terminase22	terminase17	1
terminase22	terminase18	21
terminase22	terminase2	5
terminase22	terminase23	2
terminase22	terminase24	52
terminase22	terminase25	50
terminase22	terminase26	2
terminase22	terminase28	4
terminase22	terminase29	2
terminase22	terminase3	32
terminase22	terminase31	3
terminase22	terminase32	1
terminase22	terminase33	2
terminase22	terminase34	6
terminase22	terminase38	1
terminase22	terminase39	32
terminase22	terminase4	3
terminase22	terminase44	11
terminase22	terminase5	86
terminase22	terminase6	18
terminase22	terminase7	31
terminase22	terminase8	96
terminase22	terminase9	29
terminase23	tectviridae	1
terminase23	terminase1	7
terminase23	terminase10	1
terminase23	terminase11	2
terminase23	terminase12	1
terminase23	terminase13	4
terminase23	terminase14	5
terminase23	terminase15	2
terminase23	terminase16	3
terminase23	terminase17	1
terminase23	terminase18	3
terminase23	terminase2	2
terminase23	terminase22	2
terminase23	terminase24	5
terminase23	terminase25	1
terminase23	terminase26	7
terminase23	terminase28	1
terminase23	terminase29	4
terminase23	terminase3	10
terminase23	terminase31	3
terminase23	terminase32	2
terminase23	terminase33	3
terminase23	terminase34	4
terminase23	terminase38	1
terminase23	terminase39	2
terminase23	terminase4	4
terminase23	terminase44	3
terminase23	terminase5	6
terminase23	terminase6	4
terminase23	terminase7	2
terminase23	terminase8	5
terminase23	terminase9	3
terminase24	tectviridae	1
terminase24	terminase1	15
terminase24	terminase10	1
terminase24	terminase11	6
terminase24	terminase12	1
terminase24	terminase13	50
terminase24	terminase14	15
terminase24	terminase15	5
terminase24	terminase16	51
terminase24	terminase17	1
terminase24	terminase18	31
terminase24	terminase2	8
terminase24	terminase22	52
terminase24	terminase23	5
terminase24	terminase25	82
terminase24	terminase26	1
terminase24	terminase28	6
terminase24	terminase29	3
terminase24	terminase3	23
terminase24	terminase31	3
terminase24	terminase32	2
terminase24	terminase33	3
terminase24	terminase34	5
terminase24	terminase38	3
terminase24	terminase39	6
terminase24	terminase4	5
terminase24	terminase44	13
terminase24	terminase5	108
terminase24	terminase6	28
terminase24	terminase7	31
terminase24	terminase8	43
terminase24	terminase9	38
terminase25	tectviridae	1
terminase25	terminase1	14
terminase25	terminase10	1
terminase25	terminase11	5
terminase25	terminase12	1
terminase25	terminase13	40
terminase25	terminase14	15
terminase25	terminase15	6
terminase25	terminase16	48
terminase25	terminase17	1
terminase25	terminase18	27
terminase25	terminase2	6
terminase25	terminase22	50
terminase25	terminase23	1
terminase25	terminase24	82
terminase25	terminase26	1
terminase25	terminase28	5
terminase25	terminase29	3
terminase25	terminase3	26
terminase25	terminase31	2
terminase25	terminase32	1
terminase25	terminase33	1
terminase25	terminase34	4
terminase25	terminase38	3
terminase25	terminase39	3
terminase25	terminase4	4
terminase25	terminase44	10
terminase25	terminase5	102
terminase25	terminase6	22
terminase25	terminase7	26
terminase25	terminase8	48
terminase25	terminase9	32
terminase26	tectviridae	1
terminase26	terminase1	5
terminase26	terminase10	1
terminase26	terminase11	1
terminase26	terminase12	1
terminase26	terminase13	3
terminase26	terminase14	2
terminase26	terminase15	3
terminase26	terminase16	2
terminase26	terminase17	1
terminase26	terminase18	1
terminase26	terminase2	2
terminase26	terminase22	2
terminase26	terminase23	7
terminase26	terminase24	1
terminase26	terminase25	1
terminase26	terminase28	1
terminase26	terminase29	2
terminase26	terminase3	6
terminase26	terminase31	3
terminase26	terminase32	1
terminase26	terminase33	1
terminase26	terminase34	2
terminase26	terminase38	1
terminase26	terminase39	3
terminase26	terminase4	1
terminase26	terminase44	1
